text,label
"Saya sangat setuju dengan relokasi IKN karena pemerataan pembangunan",positif
"Relokasi ibu kota tidak penting saat ini",negatif
"Pemerintah sudah mengambil keputusan yang tepat",positif
"Tidak setuju, pemborosan anggaran",negatif
"Semoga proyek ini berjalan lancar",positif
"Banyak masyarakat tidak siap dengan relokasi ini",negatif
"Kebijakan ini seharusnya didukung demi masa depan",positif
"Relokasi terlalu terburu-buru",negatif
"Saya optimis Nusantara akan membawa perubahan",positif
"Tidak yakin relokasi ini berhasil",negatif
